2WN,2CNTZ,2CNTR,7WN,7CNTZ,7CNTR
2923.03,309.0,293.0,2924.94,42.0,23.0
2924.36,17.0,382.0,2925.58,6.0,351.0
2924.73,27.0,327.0,2925.98,329.0,109.0
2924.94,7.0,332.0,2926.34,14.0,354.0
2926.81,41.0,387.0,2928.71,261.0,57.0
2927.47,391.0,1.0,2932.89,116.0,255.0
2935.73,182.0,117.0,2933.12,195.0,117.0
2936.42,275.0,249.0,2935.14,275.0,142.0
2937.3,39.0,383.0,2935.42,51.0,347.0
2940.12,231.0,30.0,2938.05,5.0,0.0
2941.52,52.0,354.0,2940.52,49.0,362.0
2941.59,377.0,25.0,2941.32,380.0,368.0
2942.65,36.0,351.0,2941.99,29.0,6.0
2944.49,16.0,325.0,2942.01,133.0,14.0
2945.53,264.0,73.0,2945.87,293.0,159.0
2946.43,268.0,107.0,2948.21,355.0,232.0
2946.8,274.0,93.0,2950.25,322.0,149.0
2947.03,230.0,120.0,2950.44,12.0,16.0
2948.41,10.0,326.0,2952.43,351.0,18.0
2949.64,23.0,357.0,2953.61,376.0,370.0
2950.11,42.0,385.0,2953.71,206.0,243.0
2952.82,143.0,170.0,2953.74,79.0,330.0
2954.03,327.0,183.0,2956.01,61.0,338.0
2955.25,357.0,1.0,2960.63,20.0,19.0
2963.29,151.0,178.0,2962.07,200.0,38.0
2963.82,398.0,83.0,2963.21,44.0,54.0
2963.91,58.0,306.0,2963.28,234.0,91.0
2964.3,58.0,353.0,2966.58,400.0,401.0
2965.41,76.0,345.0,2968.05,56.0,312.0
2966.23,318.0,195.0,2968.26,302.0,103.0
2968.11,177.0,179.0,2969.54,279.0,95.0
2971.06,392.0,60.0,2971.6,144.0,258.0
2972.63,204.0,196.0,2971.99,396.0,398.0
2974.27,5.0,331.0,2973.34,141.0,70.0
2981.67,2.0,101.0,2975.68,55.0,19.0
2984.19,232.0,13.0,2979.15,244.0,80.0
2991.28,343.0,3.0,2980.52,127.0,192.0
2993.52,65.0,401.0,2983.1,146.0,63.0
2994.26,128.0,397.0,2983.89,315.0,52.0
2996.11,270.0,15.0,2991.12,2.0,66.0
2998.21,46.0,401.0,2996.13,344.0,127.0
3000.71,299.0,115.0,2997.63,4.0,362.0
3002.34,96.0,91.0,3000.23,4.0,366.0
